,Pregunta,Intencion,Pregunta_new,Pregunta_corregida
5037,como puedo obtener la tarjeta contacless???,Cat_291,como puedo obtener la tarjeta contacless,como puedo obtener la tarjeta contactless
5038,queria saber si aprobaron mi solicitud para la tarjeta de credito,Cat_118,queria saber si aprobaron mi solicitud para la tarjeta de credito,quera saber si aprobaron mi solicitud para la tarjeta de credito
5039,para averiguar por aadvantage como sería el funcionamiento,Cat_277,para averiguar por aadvantage como sería el funcionamiento,para averiguar por advantage como serba el funcionamiento
5040,necesito habilitar nuevamente mi tarjeta de debito el pasado lunes se me inhabilito por no recordar la clave alfabética,Cat_288,necesito habilitar nuevamente mi tarjeta de debito el pasado lunes se me inhabilito por no recordar la clave alfabética,necesito habilitar nuevamente mi tarjeta de debito el pasado lunes se me inhabilito por no recordar la clave alfabética
5041,número para contactarse de amex,Cat_147,número para contactarse de amex,número para contactarse de amex
5042,cómo puedo hacer para que el límite de descubierto de mi cta cte. sea mas alto?,Cat_57,cómo puedo hacer para que el límite de descubierto de mi cta cte sea mas alto,como puedo hacer para que el limite de descubierto de mi uta te sea mas alto
5043,retirar productos superclub,Cat_322,retirar productos superclub,retirar productos superclub
5044,por que no puedo ver los papeles en los que invertí?,Cat_153,por que no puedo ver los papeles en los que invertí,por que no puedo ver los papeles en los que invertí
5045,necesito dar de baja un seguro,Cat_262,necesito dar de baja un seguro,necesito dar de baja un seguro
5046,se puede hacer renovacion de lebacs personalmente?,Cat_162,se puede hacer renovacion de lebacs personalmente,se puede hacer renovacion de lebacs personalmente
5047,queria saber cuando me puedo postular para el premio por mérito académico,Cat_358,queria saber cuando me puedo postular para el premio por mérito académico,quera saber cuando me puedo postular para el premio por morito académico
5048,como cargo mi sube,Cat_132,como cargo mi sube,como cargo mi sube
5049,a donde aviso que viajo?,Cat_304,a donde aviso que viajo,a donde aviso que viajo
5050,cuales son los requisitos para crear una cuenta?,Cat_39,cuales son los requisitos para crear una cuenta,cuales son los requisitos para crear una cuenta
5051,credito automotor,Cat_225,credito automotor,credito automotor
5052,como puedo pagar a empleado?,Cat_69,como puedo pagar a empleado,como puedo pagar a empleado
5053,saldo tarjeta credito,Cat_303,saldo tarjeta credito,saldo tarjeta credito
5054,ingreso la clave y se queda realizando la consulta (con el cartelito) y no termina mas.,Cat_1,ingreso la clave y se queda realizando la consulta con el cartelito y no termina mas,ingreso la clave y se queda realizando la consulta con el cartelito y no termina mas
5055,quisiera saber si puedo tener mi tarjeta de credito visa,Cat_337,quisiera saber si puedo tener mi tarjeta de credito visa,quisiera saber si puedo tener mi tarjeta de credito visa
5056,como se hace el pago de la tarjeta?,Cat_342,como se hace el pago de la tarjeta,como se hace el pago de la tarjeta
5057,donde veo a los ganadores del sorteo cuenta sueldo,Cat_144,donde veo a los ganadores del sorteo cuenta sueldo,donde veo a los ganadores del sorteo cuenta sueldo
5058,nececitaria el resumen anterior,Cat_138,nececitaria el resumen anterior,necesitara el resumen anterior
5059,quiero pagar tarjeta,Cat_192,quiero pagar tarjeta,quiero pagar tarjeta
5060,pagar patentar auto,Cat_132,pagar patentar auto,pagar patentar auto
5061,comprar exterior tarjeta debitar,Cat_289,comprar exterior tarjeta debitar,comprar exterior tarjeta debitar
5062,antes de sacar otro prestamo hipotecario decis que me conviene cancelar el que actualmente estoy pagando?,Cat_218,antes de sacar otro prestamo hipotecario decis que me conviene cancelar el que actualmente estoy pagando,antes de sacar otro prestamo hipotecario decir que me conviene cancelar el que actualmente estoy pagando
5063,de mi cuenta no se pudo debitar el pago automatico de la tarjeta de credito,Cat_346,de mi cuenta no se pudo debitar el pago automatico de la tarjeta de credito,de mi cuenta no se pudo debitar el pago automatico de la tarjeta de credito
5064,yo quiero abrir una caja de ahorro pero no tengo cbu cómo puedo hacerlo,Cat_39,yo quiero abrir una caja de ahorro pero no tengo cbu cómo puedo hacerlo,yo quiero abrir una caja de ahorro pero no tengo cu como puedo hacerlo
5065,mi consulta es por un prestamo,Cat_225,mi consulta es por un prestamo,mi consulta es por un prestamo
5066,recarga redbus,Cat_132,recarga redbus,recarga rebus
5067,contacto telefonico de santander rio,Cat_147,contacto telefonico de santander rio,contacto telefonico de santander rio
5068,quiero invertir en bonos en dolares.,Cat_157,quiero invertir en bonos en dolares,quiero invertir en bonos en dolar
5069,puedo modificar el ccredito si compro otro auto?,Cat_255,puedo modificar el ccredito si compro otro auto,puedo modificar el credito si compro otro auto
5070,necesito dolares,Cat_223,necesito dolares,necesito dolar
5071,cómo es la condición de emisión de letes?,Cat_158,cómo es la condición de emisión de letes,como es la condicion de emisión de letes
5072,me bloquearon la tarjeta de ccredito por falta de pago y yo aboné en tiempo y forma,Cat_279,me bloquearon la tarjeta de ccredito por falta de pago y yo aboné en tiempo y forma,me bloquearon la tarjeta de credito por falta de pago y yo abono en tiempo y forma
5073,no puedo sacar el ccredito online,Cat_197,no puedo sacar el ccredito online,no puedo sacar el credito online
5074,quiero reversar una transferencia,Cat_82,quiero reversar una transferencia,quiero reversar una transferencia
5075,yo pagué la tarjeta pero me avisan por mail que todavía no se acreditó.,Cat_279,yo pagué la tarjeta pero me avisan por mail que todavía no se acreditó,yo pague la tarjeta pero me avisan por mail que todavía no se acredite
5076,no me llego mi adicional,Cat_293,no me llego mi adicional,no me llego mi adicional
5077,canjear punto comodí¬≠n descuento reintegrar,Cat_312,canjear punto comodín descuento reintegrar,canjear punto comodín descuento reintegrar
5078,que tasa de interes tiene le plazo fijo?,Cat_183,que tasa de interes tiene le plazo fijo,que tasa de interes tiene le plazo fijo
5079,que beneficios tienen sus tarjetas?,Cat_311,que beneficios tienen sus tarjetas,que beneficios tienen sus tarjetas
5080,quiero entrar en apps santander,Cat_3,quiero entrar en apps santander,quiero entrar en apps santander
5081,cómo puedo hacer para sacar un préstamo?,Cat_223,cómo puedo hacer para sacar un préstamo,como puedo hacer para sacar un préstamo
5082,mi cuenta titulo está bloqueada,Cat_170,mi cuenta titulo está bloqueada,mi cuenta titulo esto bloqueada
5083,querer cambiar,Cat_1,querer cambiar,querer cambiar
5084,cuanto demora la acreditacion de un cheque?,Cat_49,cuanto demora la acreditacion de un cheque,cuanto demora la acreditacion de un cheque
5085,quiero hacer un simulacro del prestamo,Cat_251,quiero hacer un simulacro del prestamo,quiero hacer un simulacro del prestamo
5086,trabaja el banco el jueves santo?,Cat_114,trabaja el banco el jueves santo,trabaja el banco el jueves santo
5087,quiero que me asesoren para cerrar una cuenta,Cat_41,quiero que me asesoren para cerrar una cuenta,quiero que me asesoren para cerrar una cuenta
5088,el otorgamiento del préstamo hipotecario es solo para vivienda unica?,Cat_228,el otorgamiento del préstamo hipotecario es solo para vivienda unica,el otorgamiento del préstamo hipotecario es solo para vivienda unica
5089,importa el punto del pais donde compre la vivienda por medio de prestamo hipotecario?,Cat_211,importa el punto del pais donde compre la vivienda por medio de prestamo hipotecario,importa el punto del pais donde compre la vivienda por medio de prestamo hipotecario
5090,ahora necesito que me manden la prenda,Cat_235,ahora necesito que me manden la prenda,ahora necesito que me manden la prenda
5091,el seguro de la casa me cubre si se me rompe un espejo?,Cat_265,el seguro de la casa me cubre si se me rompe un espejo,el seguro de la casa me cubre si se me rompe un espejo
5092,consumo tarjeta autorizar,Cat_112,consumo tarjeta autorizar,consumo tarjeta autorizar
5093,requisitos para prestamos personales?,Cat_248,requisitos para prestamos personales,requisitos para prestamos personales
5094,me descontaron el cargo de sorpresa y yo lo tengo sin cargo,Cat_90,me descontaron el cargo de sorpresa y yo lo tengo sin cargo,me descontaron el cargo de sorpresa y yo lo tengo sin cargo
5095,no llegar tarjeta domicilio,Cat_293,no llegar tarjeta domicilio,no llegar tarjeta domicilio
5096,que costo tiene realizar una extración de dinero desde un cajero que no es del banco santader?,Cat_96,que costo tiene realizar una extración de dinero desde un cajero que no es del banco santader,que costo tiene realizar una extracción de dinero desde un cajero que no es del banco santander
5097,no puedo abonar un vep por online banking,Cat_129,no puedo abonar un vep por online banking,no puedo abonar un ver por online bancking
5098,eliminar devito automatico de cuenta,Cat_292,eliminar devito automatico de cuenta,eliminar devino automatico de cuenta
5099,como saber mi clave banelco,Cat_288,como saber mi clave banelco,como saber mi clave caneco
5100,transferencia internacional cambio de divisas forex,Cat_36,transferencia internacional cambio de divisas forex,transferencia internacional cambio de divisas forex
5101,quiero dar de baja mi cobertura,Cat_262,quiero dar de baja mi cobertura,quiero dar de baja mi cobertura
5102,tengo un plazo fijo no acreditado y quiero saber por que,Cat_185,tengo un plazo fijo no acreditado y quiero saber por que,tengo un plazo fijo no acreditado y quiero saber por que
5103,credito disponible amex,Cat_303,credito disponible amex,credito disponible amex
5104,quiero aumentar la cobertura,Cat_268,quiero aumentar la cobertura,quiero aumentar la cobertura
5105,necesito consultar movimentos,Cat_50,necesito consultar movimentos,necesito consultar movimientos
5106,quiero un numero de telefono para comunicarme,Cat_147,quiero un numero de telefono para comunicarme,quiero un numero de telefono para comunicarme
5107,quiero dar de baja la tarjeta de debito,Cat_41,quiero dar de baja la tarjeta de debito,quiero dar de baja la tarjeta de debito
5108,olvide mi contraseña de hombamnkin,Cat_1,olvide mi contraseña de hombamnkin,olvide mi contraseña de hombamnkin
5109,donde tengo q dirigirme para obtener más información sobre creditso uvas,Cat_225,donde tengo q dirigirme para obtener más información sobre creditso uvas,donde tengo q dirigirme para obtener mis información sobre credito uvas
5110,necesitar comprar acciones quiero precio comision,Cat_96,necesitar comprar acciones quiero precio comision,necesitar comprar acciones quiero precio comision
5111,me llego mi tarjeta santander rio gold. quiero saber como pedir una extencion,Cat_334,me llego mi tarjeta santander rio gold quiero saber como pedir una extencion,me llego mi tarjeta santander rio gold quiero saber como pedir una extension
5112,quiero extraer dinero con mi tarjeta de débito,Cat_298,quiero extraer dinero con mi tarjeta de débito,quiero extraer dinero con mi tarjeta de debito
5113,adelanto de efectivo,Cat_298,adelanto de efectivo,adelanto de efectivo
5114,solicitar caja ahorro formar online,Cat_39,solicitar caja ahorro formar online,solicitar caja ahorro formar online
5115,que es un ccredito hipotecario?,Cat_204,que es un ccredito hipotecario,que es un credito hipotecario
5116,como puedo resolver mi deuda,Cat_192,como puedo resolver mi deuda,como puedo resolver mi deuda
5117,hacer pago internet,Cat_132,hacer pago internet,hacer pago internet
5118,numero llamar comunicarme interior informacion,Cat_147,numero llamar comunicarme interior informacion,numero llamar comunicarme interior informacion
5119,donde me dirjo para cambiar contraseña,Cat_1,donde me dirjo para cambiar contraseña,donde me dirijo para cambiar contraseña
5120,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,Cat_312,yo use el comodin de conbustible quiero saber cuando me reintegran el dinero,yo use el comodin de combustible quiero saber cuando me reintegran el dinero
5121,quiero un procrear,Cat_200,quiero un procrear,quiero un procrear
5122,figura salddo corriente negativo,Cat_56,figura salddo corriente negativo,figura saldo corriente negativo
5123,cambiar dato seguro,Cat_267,cambiar dato seguro,cambiar dato seguro
5124,me pide autorización cada vez que tengo que usar la tarjeta,Cat_283,me pide autorización cada vez que tengo que usar la tarjeta,me pide autorización cada vez que tengo que usar la tarjeta
5125,me podes ayudar que quiero hacer un plazo fijo,Cat_181,me podes ayudar que quiero hacer un plazo fijo,me podes ayudar que quiero hacer un plazo fijo
5126,quiero saber como sacar  visa,Cat_337,quiero saber como sacar  visa,quiero saber como sacar visa
5127,cargo mantenimiento,Cat_96,cargo mantenimiento,cargo mantenimiento
5128,necesito buscar la prenda de mi auto,Cat_235,necesito buscar la prenda de mi auto,necesito buscar la prenda de mi auto
5129,querer pagar tarjeta visa,Cat_342,querer pagar tarjeta visa,querer pagar tarjeta visa
5130,comunico pago deuda,Cat_195,comunico pago deuda,comunico pago deuda
5131,en la tasacion que se debe tener en cuenta?,Cat_216,en la tasacion que se debe tener en cuenta,en la tasacion que se debe tener en cuenta
5132,tengo descuentos en micros de larga distancia con santander rio universidades?,Cat_359,tengo descuentos en micros de larga distancia con santander rio universidades,tengo descuentos en micros de larga distancia con santander rio universidades
5133,beneficio duo,Cat_139,beneficio duo,beneficio duo
5134,debitar resumir tarjeta figurar,Cat_38,debitar resumir tarjeta figurar,debitar resumir tarjeta figurar
5135,disculpen pero yo no tengo seguro de vida y no lo solicité tampoco,Cat_264,disculpen pero yo no tengo seguro de vida y no lo solicité tampoco,disculpen pero yo no tengo seguro de vida y no lo solicita tampoco
5136,quiero dar de baja mi paquete,Cat_41,quiero dar de baja mi paquete,quiero dar de baja mi paquete
5137,no sé quien transfirió a mi cuenta,Cat_55,no sé quien transfirió a mi cuenta,no se quien transfirió a mi cuenta
5138,el examen medico se lo piden a todos para la aprobacion de un préstamo hipotecario?,Cat_208,el examen medico se lo piden a todos para la aprobacion de un préstamo hipotecario,el examen medico se lo piden a todos para la aprobacion de un préstamo hipotecario
5139,el resumen de este mes de la tarjeta santander visa,Cat_138,el resumen de este mes de la tarjeta santander visa,el resumen de este mes de la tarjeta santander visa
5140,quisiera saber sobre prendarios,Cat_225,quisiera saber sobre prendarios,quisiera saber sobre prendarios
5141,quisiera saber porque me cobran mantenimiento de cuenta cuando hice mas de tres compras con tarjeta de debito,Cat_90,quisiera saber porque me cobran mantenimiento de cuenta cuando hice mas de tres compras con tarjeta de debito,quisiera saber porque me cobran mantenimiento de cuenta cuando hice mas de tres compras con tarjeta de debito
5142,debitar vencia,Cat_129,debitar vencia,debitar encia
5143,ahorro intereses adelantando cuotas?,Cat_246,ahorro intereses adelantando cuotas,ahorro intereses adelantando cuotas
5144,intentar generar clave llegar ingresar,Cat_1,intentar generar clave llegar ingresar,intentar generar clave llegar ingresar
5145,me decís cuál es mi sucursal principal?,Cat_100,me decís cuál es mi sucursal principal,me decís cuál es mi sucursal principal
5146,cancelé una compra y sin embargo sigue figurando en mi resumen,Cat_112,cancelé una compra y sin embargo sigue figurando en mi resumen,cancel una compra y sin embargo sigue figurando en mi resumen
5147,donde se encuentra work cafe?,Cat_149,donde se encuentra work cafe,donde se encuentra york cafe
5148,puedo hacer simulación de préstamo si no soy cliente?,Cat_251,puedo hacer simulación de préstamo si no soy cliente,puedo hacer simulación de préstamo si no soy cliente
5149,cerrar cuenta,Cat_41,cerrar cuenta,cerrar cuenta
5150,cobrar gasto tarjeta credito,Cat_112,cobrar gasto tarjeta credito,cobrar gasto tarjeta credito
5151,deposite un cheque en mi cuenta y quiero saber cuando se acredita?,Cat_49,deposite un cheque en mi cuenta y quiero saber cuando se acredita,deposite un cheque en mi cuenta y quiero saber cuando se acredita
5152,quiero consultar por financiación en plan v de visa,Cat_308,quiero consultar por financiación en plan v de visa,quiero consultar por financiación en plan v de visa
5153,estoy habilitado para obtener el préstamo,Cat_248,estoy habilitado para obtener el préstamo,estoy habilitado para obtener el préstamo
5154,quiero saber si me pueden dar credito,Cat_248,quiero saber si me pueden dar credito,quiero saber si me pueden dar credito
5155,puedo comprar euros?,Cat_166,puedo comprar euros,puedo comprar euros
5156,necesito cambiar el mail.,Cat_103,necesito cambiar el mail,necesito cambiar el mail
5157,como se opera con un echeq,Cat_59,como se opera con un echeq,como se opera con un eche
5158,cuánto están dando a días en plazo fijo?,Cat_183,cuánto están dando a días en plazo fijo,cuanto están dando a días en plazo fijo
5159,como es el porcentaje de interes,Cat_258,como es el porcentaje de interes,como es el porcentaje de interes
5160,bajo cuenta caja ahorrar universitario santander,Cat_41,bajo cuenta caja ahorrar universitario santander,bajo cuenta caja ahorrar universitario santander
5161,donde ingresó para hacer consultas de mi tarjeta,Cat_3,donde ingresó para hacer consultas de mi tarjeta,donde ingreso para hacer consultas de mi tarjeta
5162,cuál es el costo del seguro de protección móvil?,Cat_261,cuál es el costo del seguro de protección móvil,cuál es el costo del seguro de protección móvil
5163,se me bloqueo mi usuario como puedo generar una nueva,Cat_1,se me bloqueo mi usuario como puedo generar una nueva,se me bloqueo mi usuario como puedo generar una nueva
5164,todavía no me acreditaron unas operaciones de acciones,Cat_153,todavía no me acreditaron unas operaciones de acciones,todavía no me acreditaron unas operaciones de acciones
5165,que otros costos asociados tengo en un prestamo hipotecario  ademas del % del valor de la vivienda?,Cat_231,que otros costos asociados tengo en un prestamo hipotecario  ademas del  del valor de la vivienda,que otros costos asociados tengo en un prestamo hipotecario ademas del del valor de la vivienda
5166,donde ver estado envio tarjeta recargable,Cat_293,donde ver estado envio tarjeta recargable,donde ver estado envio tarjeta recargable
5167,como averiguo el valor total de la cuota para mi operacion de hipoteca?,Cat_219,como averiguo el valor total de la cuota para mi operacion de hipoteca,como averiguo el valor total de la cuota para mi operacion de hipoteca
5168,necesito solicitar un cambio de sucursa,Cat_65,necesito solicitar un cambio de sucursa,necesito solicitar un cambio de sucursal
5169,hay un límite por mes de pedido de préstamos,Cat_218,hay un límite por mes de pedido de préstamos,hay un limite por mes de pedido de prestamos
5170,necesito saber como puedo blanquear mi clave de afip por homebanking,Cat_95,necesito saber como puedo blanquear mi clave de afip por homebanking,necesito saber como puedo blanquear mi clave de afip por homebanking
5171,tengo cuenta platinum en el banco y quisiera saber como es para que me sumen puntos en superclub,Cat_323,tengo cuenta platinum en el banco y quisiera saber como es para que me sumen puntos en superclub,tengo cuenta platinum en el banco y quisiera saber como es para que me sumen puntos en superclub
5172,entrar pagar visa debitar automatico,Cat_38,entrar pagar visa debitar automatico,entrar pagar visa debitar automatico
5173,queria consultar porque no han realizado el debito de edenor?,Cat_129,queria consultar porque no han realizado el debito de edenor,quera consultar porque no han realizado el debito de elebor
5174,quiero pedir un reintegro de impuesto mal cobrado,Cat_122,quiero pedir un reintegro de impuesto mal cobrado,quiero pedir un reintegro de impuesto mal cobrado
5175,no puedo canjear puntos por voucher de falabella,Cat_328,no puedo canjear puntos por voucher de falabella,no puedo canjear puntos por vaucher de falabella
5176,quiero ser cliente del banco,Cat_39,quiero ser cliente del banco,quiero ser cliente del banco
5177,como ingreso a caja de valores,Cat_164,como ingreso a caja de valores,como ingreso a caja de valores
5178,tarjeta tardar entregarme nueva tarjeta,Cat_293,tarjeta tardar entregarme nueva tarjeta,tarjeta tardar entregarme nueva tarjeta
5179,se me debería haber acreditado el rescate de fondos de inversión pero los mismos no me aparecen en la cuenta.,Cat_175,se me debería haber acreditado el rescate de fondos de inversión pero los mismos no me aparecen en la cuenta,se me debería haber acreditado el rescate de fondos de inversión pero los mismos no me aparecen en la cuenta
5180,la tarjeta se quedo adentro del cajero,Cat_294,la tarjeta se quedo adentro del cajero,la tarjeta se quedo adentro del cajero
5181,quiero saldo caja ahorro,Cat_50,quiero saldo caja ahorro,quiero saldo caja ahorro
5182,tengo una adicional. puedo disfrutar los beneficios iu?,Cat_140,tengo una adicional puedo disfrutar los beneficios iu,tengo una adicional puedo disfrutar los beneficios in
5183,costos de cancelacion?,Cat_246,costos de cancelacion,costos de cancelacion
5184,podes tipo cambiar pagar tarjeta,Cat_307,podes tipo cambiar pagar tarjeta,podes tipo cambiar pagar tarjeta
5185,hay paro de banco mañana?,Cat_114,hay paro de banco mañana,hay paro de banco mañana
5186,como veo mi factura de la tarjeta,Cat_138,como veo mi factura de la tarjeta,como veo mi factura de la tarjeta
5187,como hago para invertir en plazo fijo de otro banco desde el santander?,Cat_54,como hago para invertir en plazo fijo de otro banco desde el santander,como hago para invertir en plazo fijo de otro banco desde el santander
5188,todavía no se acreditó el sueldo,Cat_62,todavía no se acreditó el sueldo,todavía no se acredite el sueldo
5189,estoy intentando sacar dinero de un cajero automatico en india no me deja,Cat_298,estoy intentando sacar dinero de un cajero automatico en india no me deja,estoy intentando sacar dinero de un cajero automatico en india no me deja
5190,califico a un prestamo,Cat_248,califico a un prestamo,califico a un prestamo
5191,perdí mi tarjeta  me pueden mandar otra?,Cat_294,perdí mi tarjeta  me pueden mandar otra,perdí mi tarjeta me pueden mandar otra
5192,no recibí dinero que me mandaron de afuera,Cat_33,no recibí dinero que me mandaron de afuera,no recibí dinero que me mandaron de afuera
5193,cuánto está la acción de ceco?,Cat_168,cuánto está la acción de ceco,cuanto esto la accion de eco
5194,sigue vigente el super miercoles mujer en peluquerias?,Cat_311,sigue vigente el super miercoles mujer en peluquerias,sigue vigente el super miercoles mujer en peluqueria
5195,el wifi es gratis en el work cafe?,Cat_149,el wifi es gratis en el work cafe,el wifi es gratis en el york cafe
5196,cuando se van a comunicar conmigo para saber si esta aprobado el préstamo hipotecario o no?,Cat_215,cuando se van a comunicar conmigo para saber si esta aprobado el préstamo hipotecario o no,cuando se van a comunicar conmigo para saber si esta aprobado el préstamo hipotecario o no
5197,tenía que extraer efectivo del cajero con la clave que tenía y me pidió una clave alfebértica nueva,Cat_288,tenía que extraer efectivo del cajero con la clave que tenía y me pidió una clave alfebértica nueva,tenia que extraer efectivo del cajero con la clave que tenia y me pitia una clave alfabética nueva
5198,necesitaria que me envien por email el libre deuda de la tarjeta de credito,Cat_64,necesitaria que me envien por email el libre deuda de la tarjeta de credito,necesitara que me envion por email el libre deuda de la tarjeta de credito
5199,estoy adherido al debito automatico de los servicios pero no me descuentan ninguno aún y se me están venciendo todos. q debo hacer?,Cat_129,estoy adherido al debito automatico de los servicios pero no me descuentan ninguno aún y se me están venciendo todos q debo hacer,estoy adherido al debito automatico de los servicios pero no me descuentan ninguno azn y se me están venciendo todos q debo hacer
5200,como me van a pagar el robo del celular?en efectivo u orden de compra?,Cat_270,como me van a pagar el robo del celularen efectivo u orden de compra,como me van a pagar el robo del celulares efectivo u orden de compra
5201,mi amiga tiene una gold pero como saber si es select o no,Cat_142,mi amiga tiene una gold pero como saber si es select o no,mi amiga tiene una gold pero como saber si es selecta o no
5202,como adherir al programa women,Cat_357,como adherir al programa women,como adherir al programa woman
5203,saldar caja ahorro peso,Cat_50,saldar caja ahorro peso,saldar caja ahorro peso
5204,quiero comprar por internet,Cat_290,quiero comprar por internet,quiero comprar por internet
5205,pagar saldo tarjeta credito tener adicional,Cat_342,pagar saldo tarjeta credito tener adicional,pagar saldo tarjeta credito tener adicional
5206,ya tengo un prestamo y queria ver si podia sacar otro,Cat_218,ya tengo un prestamo y queria ver si podia sacar otro,ya tengo un prestamo y quera ver si pedia sacar otro
5207,cual es tu sexo?,Cat_27,cual es tu sexo,cual es tu sexo
5208,el resumen de la tarjeta sigue sin llegar y yo no habilite la instancia de q sea por mail.,Cat_138,el resumen de la tarjeta sigue sin llegar y yo no habilite la instancia de q sea por mail,el resumen de la tarjeta sigue sin llegar y yo no habilite la instancia de q sea por mail
5209,como blanqueo mi clave banelco?,Cat_288,como blanqueo mi clave banelco,como blanqueo mi clave caneco
5210,cómo hago para empezar a usar mi tarjeta de débito?,Cat_301,cómo hago para empezar a usar mi tarjeta de débito,como hago para empezar a usar mi tarjeta de debito
5211,me explicás como es para hacer un pago en dolares de lo que tengo en la tarjeta?,Cat_307,me explicás como es para hacer un pago en dolares de lo que tengo en la tarjeta,me explicas como es para hacer un pago en dolar de lo que tengo en la tarjeta
5212,quiero recibir plata de afuera,Cat_32,quiero recibir plata de afuera,quiero recibir plata de afuera
5213,cuales son los requisitos que debe cumplir la vivienda para un prestamo hipotecario?,Cat_211,cuales son los requisitos que debe cumplir la vivienda para un prestamo hipotecario,cuales son los requisitos que debe cumplir la vivienda para un prestamo hipotecario
5214,informar pago tarjeta,Cat_195,informar pago tarjeta,informar pago tarjeta
5215,que monto puedo solicitar para comprar un depto?,Cat_236,que monto puedo solicitar para comprar un depto,que monto puedo solicitar para comprar un depto
5216,necesito hacer la autorización de una compra online.,Cat_283,necesito hacer la autorización de una compra online,necesito hacer la autorización de una compra online
5217,sigo sin poder hacer transferencias,Cat_80,sigo sin poder hacer transferencias,sigo sin poder hacer transferencias
5218,que demora tiene en acreditarse el préstamo desde que lo solicito?,Cat_226,que demora tiene en acreditarse el préstamo desde que lo solicito,que demora tiene en acreditarse el préstamo desde que lo solicito
5219,me explicarias como es lo del banco de la mujer?,Cat_357,me explicarias como es lo del banco de la mujer,me explicarias como es lo del banco de la mujer
5220,puedo unificar ingresos si no estoy casado y pedir un prestamo para comprar un departamento,Cat_254,puedo unificar ingresos si no estoy casado y pedir un prestamo para comprar un departamento,puedo unificar ingresos si no estoy casado y pedir un prestamo para comprar un departamento
5221,se pasó la fecha de cobro y no está la plata del sueldo,Cat_62,se pasó la fecha de cobro y no está la plata del sueldo,se pase la fecha de cobro y no esto la plata del sueldo
5222,estoy interesado en un préstamo hipotecario uva,Cat_225,estoy interesado en un préstamo hipotecario uva,estoy interesado en un préstamo hipotecario uva
5223,quiero una reposición de chequera,Cat_44,quiero una reposición de chequera,quiero una reposición de chequera
5224,que costos asociados tengo con un súper préstamo uva?,Cat_231,que costos asociados tengo con un súper préstamo uva,que costos asociados tengo con un super préstamo uva
5225,puedo hacer gastos desde el exterior desde mi cuenta en dolares?,Cat_289,puedo hacer gastos desde el exterior desde mi cuenta en dolares,puedo hacer gastos desde el exterior desde mi cuenta en dolar
5226,para dar de baja sorpresa   como hay que hacer,Cat_320,para dar de baja sorpresa   como hay que hacer,para dar de baja sorpresa como hay que hacer
5227,puedo solicitar el prestamo personal y despues dar marcha atras?,Cat_227,puedo solicitar el prestamo personal y despues dar marcha atras,puedo solicitar el prestamo personal y despues dar marcha atras
5228,estoy teniendo inconvenientes para realizar una transferencia a un destinatario ya agendado  aparece un error.,Cat_80,estoy teniendo inconvenientes para realizar una transferencia a un destinatario ya agendado  aparece un error,estoy teniendo inconvenientes para realizar una transferencia a un destinatario ya agendado aparece un error
5229,quiero ahorro,Cat_39,quiero ahorro,quiero ahorro
5230,como accedo a la información sobre la cuenta de mi tarjeta de ccredito?,Cat_344,como accedo a la información sobre la cuenta de mi tarjeta de ccredito,como accedo a la información sobre la cuenta de mi tarjeta de credito
5231,querer gestionar clave operar telefonicamente,Cat_1,querer gestionar clave operar telefonicamente,querer gestionar clave operar telefonicamente
5232,algun numero contactar,Cat_147,algun numero contactar,algun numero contactar
5233,para bajas de cuenta,Cat_41,para bajas de cuenta,para bajas de cuenta
5234,una reposición que hace un mes y no me llego.,Cat_293,una reposición que hace un mes y no me llego,una reposición que hace un mes y no me llego
5235,queria saber el saldo a pagar de la tarjeta de credito visa,Cat_342,queria saber el saldo a pagar de la tarjeta de credito visa,quera saber el saldo a pagar de la tarjeta de credito visa
5236,queria baja debito automatico,Cat_89,queria baja debito automatico,quera baja debito automatico
5237,el estado de mi tarjeta visa  me habían enviado el plástico nuevo a la sucursal,Cat_293,el estado de mi tarjeta visa  me habían enviado el plástico nuevo a la sucursal,el estado de mi tarjeta visa me habían enviado el plástico nuevo a la sucursal
5238,fuimos víctimas de una clonacion en mi tarjeta de debito,Cat_294,fuimos víctimas de una clonacion en mi tarjeta de debito,fuimos victimar de una clonacion en mi tarjeta de debito
5239,a que numero debo comunicarme para pedir un cambio de sucursal??,Cat_65,a que numero debo comunicarme para pedir un cambio de sucursal,a que numero debo comunicarme para pedir un cambio de sucursal
5240,quiero saber si mi tarjeta de debito fue enviada a mi domicilio,Cat_293,quiero saber si mi tarjeta de debito fue enviada a mi domicilio,quiero saber si mi tarjeta de debito fue enviada a mi domicilio
5241,como hago para canjear mis puntos?,Cat_322,como hago para canjear mis puntos,como hago para canjear mis puntos
5242,quiero dejar de pagar el monto de la cobertura con mi tarjeta,Cat_269,quiero dejar de pagar el monto de la cobertura con mi tarjeta,quiero dejar de pagar el monto de la cobertura con mi tarjeta
5243,quiero simular una cuota para compra de vivienda,Cat_251,quiero simular una cuota para compra de vivienda,quiero simular una cuota para compra de vivienda
5244,pague de mas la factura de mi tarjeta,Cat_350,pague de mas la factura de mi tarjeta,pague de mas la factura de mi tarjeta
5245,cuanto me cobran por recibir plata de afuera?,Cat_31,cuanto me cobran por recibir plata de afuera,cuanto me cobran por recibir plata de afuera
